iso3,year,month,observed
CZE,2018,8,9034.71428571429
CZE,2018,9,8530
CZE,2018,10,9161.14285714286
CZE,2018,11,8894.28571428571
CZE,2018,12,9077.28571428571
CZE,2019,1,11070.5714285714
CZE,2019,2,9815.57142857143
CZE,2019,3,9932.28571428572
CZE,2019,4,9047.57142857143
CZE,2019,5,9079
CZE,2019,6,8803.28571428571
CZE,2019,7,9063.28571428571
CZE,2019,8,9076.42857142857
CZE,2019,9,8668.14285714286
CZE,2019,10,9448.57142857143
CZE,2019,11,9238.28571428571
CZE,2019,12,8797
CZE,2020,1,11237.2857142857
CZE,2020,2,9793.71428571429
CZE,2020,3,10205.2857142857
CZE,2020,4,9237.14285714286
CZE,2020,5,8790.57142857143
CZE,2020,6,8821.71428571429
CZE,2020,7,9191.14285714286
CZE,2020,8,9390.42857142857
CZE,2020,9,9517.28571428572
CZE,2020,10,14448.4285714286
CZE,2020,11,15568.7142857143
CZE,2020,12,15320.2857142857
CZE,2021,1,15111.7142857143
CZE,2021,2,13912.1428571429
CZE,2021,3,16628.7142857143
CZE,2021,4,11670.8571428571
CZE,2021,5,9503.42857142857
CZE,2021,6,8569.42857142857
CZE,2021,7,8839.71428571429
CZE,2021,8,8738.71428571429
CZE,2021,9,8920.71428571429
CZE,2021,10,10187
CZE,2021,11,12923.5714285714
CZE,2021,12,14147
DEU,2015,1,97558
DEU,2015,2,90162
DEU,2015,3,89887.5714285714
DEU,2015,4,76764.7142857143
DEU,2015,5,73620.4285714286
DEU,2015,6,70674.1428571429
DEU,2015,7,74308.5714285714
DEU,2015,8,71559.1428571429
DEU,2015,9,68222.4285714286
DEU,2015,10,74801
DEU,2015,11,72152.7142857143
DEU,2015,12,80997.2857142857
DEU,2016,1,76881.8571428572
DEU,2016,2,76757.5714285714
DEU,2016,3,83501.4285714286
DEU,2016,4,75103.1428571429
DEU,2016,5,74422.4285714286
DEU,2016,6,68980.1428571429
DEU,2016,7,72234
DEU,2016,8,71326
DEU,2016,9,68996.7142857143
DEU,2016,10,76320.5714285714
DEU,2016,11,77210.2857142857
DEU,2016,12,84574.8571428572
DEU,2017,1,96438.4285714286
DEU,2017,2,90171.5714285714
DEU,2017,3,82565
DEU,2017,4,73180
DEU,2017,5,75213.2857142857
DEU,2017,6,69775.1428571429
DEU,2017,7,71683.1428571429
DEU,2017,8,71067.7142857143
DEU,2017,9,69693.7142857143
DEU,2017,10,75515.7142857143
DEU,2017,11,74988.5714285714
DEU,2017,12,79058.7142857143
DEU,2018,1,87646
DEU,2018,2,87201.4285714286
DEU,2018,3,105788.571428571
DEU,2018,4,79084.8571428572
DEU,2018,5,74389.8571428572
