iso3,year,month,adj.ac
DNK,2020,9,4324.55265893557
DNK,2020,10,4460.06648235977
DNK,2020,11,4630.38988199123
DNK,2020,12,5283.03362355639
DNK,2021,1,5482.00688014857
DNK,2021,2,4329.8528824733
DNK,2021,3,4457.91774308771
DNK,2021,4,4362.08397155411
DNK,2021,5,4699.29278798176
DNK,2021,6,4413.79696336821
DNK,2021,7,4606.32400214423
DNK,2021,8,4792.97782024331
DNK,2021,9,4621.65167561822
DNK,2021,10,4992.81057254432
DNK,2021,11,4994.95931181637
DNK,2021,12,5608.92574648455
DOM,2020,1,6796.77048201436
DOM,2020,2,6007.37201113029
DOM,2020,3,5552.26807089315
DOM,2020,4,4491.46215928584
DOM,2020,5,4850.58054121843
DOM,2020,6,6139.76588465383
DOM,2020,7,7865.85101071688
DOM,2020,8,7240.28995831819
DOM,2020,9,5641.63393552154
DZA,2020,1,19266.3919744476
DZA,2020,2,17714.5482475148
DZA,2020,3,17795.2217120196
DZA,2020,4,16829.3810675314
DZA,2020,5,16619.8541527759
DZA,2020,6,20280.4126046817
DZA,2020,7,36045.3521266635
DZA,2020,8,26233.4420062659
DZA,2020,9,19096.0813271597
DZA,2020,10,20913.4752080875
DZA,2020,11,29244.130882994
DZA,2020,12,23974.5850001312
ECU,2020,1,7084.24684732781
ECU,2020,2,6702.62911380395
ECU,2020,3,12300.9363222635
ECU,2020,4,22335.705572535
ECU,2020,5,11203.4735591883
ECU,2020,6,10025.4158744498
ECU,2020,7,11972.165162132
ECU,2020,8,10988.8135840812
ECU,2020,9,8785.7817988854
ECU,2020,10,8405.87885092884
ECU,2020,11,8140.55475678766
ECU,2020,12,8577.04562846528
ECU,2021,1,10478.8987122035
ECU,2021,2,9785.96945341526
ECU,2021,3,12315.4340547871
ECU,2021,4,14518.7776191769
ECU,2021,5,12043.5625975707
ECU,2021,6,9033.95803735353
ECU,2021,7,8707.99288996856
ECU,2021,8,7668.20927779366
ECU,2021,9,7201.1640450986
ECU,2021,10,7244.03368428123
ECU,2021,11,7264.29933189483
ECU,2021,12,8035.79694758503
EGY,2020,1,57432.5889509061
EGY,2020,2,50244.9454105822
EGY,2020,3,49535.1542684321
EGY,2020,4,42424.1359082267
EGY,2020,5,57213.8038971468
EGY,2020,6,79728.4999132742
EGY,2020,7,61581.4391638999
EGY,2020,8,56979.8954525746
EGY,2020,9,49756.964000354
EGY,2020,10,46274.5512091801
EGY,2020,11,51097.9046524274
EGY,2020,12,69410.3144746889
EGY,2021,1,71720.1603648393
EGY,2021,2,54906.982685159
EGY,2021,3,61929.2771525956
EGY,2021,4,68631.9639608539
EGY,2021,5,75176.3592786042
EGY,2021,6,55049.1425587998
EGY,2021,7,55855.7234021522
EGY,2021,8,56662.3042455046
EGY,2021,9,57065.5946671808
EGY,2021,10,65635.5161277998
EGY,2021,11,60695.2084622665
ESP,2020,1,44015.8111791796
ESP,2020,2,37281.6493457194
ESP,2020,3,61302.7360830041
ESP,2020,4,61131.560953488
ESP,2020,5,35845.2475722008
ESP,2020,6,31666.664303267
ESP,2020,7,35839.6641774183
ESP,2020,8,36875.5308410134
ESP,2020,9,35446.7695024603
ESP,2020,10,40896.1628101792
ESP,2020,11,43507.4283910889
ESP,2020,12,42522.2530748611
ESP,2021,1,54640.5706559499
ESP,2021,2,41857.8290957438
ESP,2021,3,38227.4470355864
ESP,2021,4,35958.9725080338
ESP,2021,5,35492.7590436951
ESP,2021,6,33788.6481834998
ESP,2021,7,36675.7040803766
ESP,2021,8,39547.4791073224
ESP,2021,9,34301.5858462815
ESP,2021,10,34973.9441232477
ESP,2021,11,38607.8525380045
ESP,2021,12,44023.0108198202
EST,2020,1,1366.04030242329
EST,2020,2,1284.37798607648
EST,2020,3,1415.09540411572
EST,2020,4,1335.30872401009
EST,2020,5,1298.51739774077
EST,2020,6,1185.69066384818
EST,2020,7,1264.75594539951
EST,2020,8,1263.31314829091
EST,2020,9,1277.01972082262
EST,2020,10,1291.1591324869
EST,2020,11,1330.54749355171
EST,2020,12,1552.59396856538
EST,2021,1,1679.99295325483
EST,2021,2,1481.17551168964
EST,2021,3,1832.6408873448
EST,2021,4,1596.02216153426
EST,2021,5,1445.82698252892
EST,2021,6,1381.1896720636
EST,2021,7,1393.57142857143
EST,2021,8,1349.57142857143
EST,2021,9,1434
EST,2021,10,1640.85714285714
EST,2021,11,1738.28571428571
EST,2021,12,1691.85714285714
FIN,2020,1,4813.48420432417
FIN,2020,2,4627.23336831504
FIN,2020,3,5047.39765584745
FIN,2020,4,4988.29601260991
FIN,2020,5,4710.67960901519
FIN,2020,6,4478.23269950774
FIN,2020,7,4455.20798985936
FIN,2020,8,4471.77991463813
FIN,2020,9,4636.61923721629
FIN,2020,10,4803.07175601185
FIN,2020,11,4737.37067370312
FIN,2020,12,5156.50838182445
FIN,2021,1,5223.23604354426
FIN,2021,2,4568.42503348066
FIN,2021,3,4821.69683961276
FIN,2021,4,4576.78432297084
FIN,2021,5,4742.21026235532
FIN,2021,6,4486.29868059474
FIN,2021,7,4838.70872699627
FIN,2021,8,4895.17059460534
FIN,2021,9,4884.31818368827
FIN,2021,10,5261.36613595558
FIN,2021,11,5141.69630746467
FIN,2021,12,5504.07883957378
FRA,2020,1,56156.7142857143
FRA,2020,2,50336.5714285714
FRA,2020,3,62879.2857142857
FRA,2020,4,64568.5714285714
FRA,2020,5,48036.7142857143
FRA,2020,6,45099.7142857143
FRA,2020,7,46026.4285714286
FRA,2020,8,48095.4285714286
FRA,2020,9,48210.7142857143
FRA,2020,10,57391.1428571429
FRA,2020,11,64918.2857142857
FRA,2020,12,63052.4285714286
FRA,2021,1,65408.5714285714
FRA,2021,2,55829.4285714286
FRA,2021,3,57213
FRA,2021,4,55898.7142857143
FRA,2021,5,51204.8571428572
FRA,2021,6,44897.5714285714
FRA,2021,7,47321.1428571429
FRA,2021,8,49173.5714285714
FRA,2021,9,48205.8571428571
FRA,2021,10,52544.2857142857
FRA,2021,11,52934.8571428572
FRA,2021,12,62546.2857142857
GBR,2020,1,64755.7197867456
GBR,2020,2,52652.8797786543
GBR,2020,3,58868.0255147642
GBR,2020,4,97067.57774438
GBR,2020,5,64861.2644104513
GBR,2020,6,48214.0120517521
GBR,2020,7,45990.2657694653
GBR,2020,8,47309.5735657865
GBR,2020,9,46928.6188713585
GBR,2020,10,54305.0478356097
GBR,2020,11,61260.0292234848
GBR,2020,12,61291.1663493149
GBR,2021,1,89350.9793350275
GBR,2021,2,66838.3988088163
GBR,2021,3,53462.2988665469
GBR,2021,4,46801.000510562
GBR,2021,5,48265.3225267115
GBR,2021,6,45877.9966960498
GBR,2021,7,50459.978254819
GBR,2021,8,52237.279549852
GBR,2021,9,53228.6973309767
GBR,2021,10,57626.7798085522
GBR,2021,11,59117.8534398515
GBR,2021,12,59849.2104376349
GEO,2020,1,5295.74234154825
GEO,2020,2,4730.71065327075
GEO,2020,3,4576.29915951071
GEO,2020,4,4167.96654267858
GEO,2020,5,4415.02493269466
GEO,2020,6,4029.56809271587
GEO,2020,7,4238.88145092394
GEO,2020,8,3844.27430020382
GEO,2020,9,3773.35939195846
GEO,2020,10,4672.37742229473
GEO,2020,11,6781.5240481727
GEO,2020,12,7277.92840589018
GEO,2021,1,5832.17930875908
GEO,2021,2,4410.44977732399
GEO,2021,3,4879.40320281746
GEO,2021,4,4700.97214336141
GEO,2021,5,5134.46811473221
GEO,2021,6,4576.29915951071
GRC,2020,1,12802.653843712
GRC,2020,2,11167.1689855713
GRC,2020,3,11373.477505379
GRC,2020,4,9967.06425791866
GRC,2020,5,9934.93660434525
GRC,2020,6,9773.86612589199
GRC,2020,7,10617.9734007199
GRC,2020,8,10693.1780427169
GRC,2020,9,9711.62780148072
GRC,2020,10,10031.1754948701
GRC,2020,11,12838.2391819749
GRC,2020,12,13223.0506738789
GRC,2021,1,11642.3124899888
GRC,2021,2,10271.4845807914
GRC,2021,3,12309.2134244791
GRC,2021,4,12294.2301241579
GRC,2021,5,11618.6849779438
GRC,2021,6,11218.4579751324
GRC,2021,7,12128.8375398427
GRC,2021,8,13497.9366066954
GRC,2021,9,10978.2929594065
GRC,2021,10,11404.4525973893
GRC,2021,11,13048.5816672538
GRC,2021,12,14689.3971226242
GTM,2020,1,7686.52949756958
GTM,2020,2,7276.60687786293
GTM,2020,3,7158.59399867395
GTM,2020,4,6346.91518645012
GTM,2020,5,7184.69454047558
GTM,2020,6,10035.8985117633
